"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
19,1000,"GAUSS",0.851587616123881,0.00606324828938482,FALSE,TRUE,NA,NA,NA,NA,0.896953312244152,0.000386894239904567,FALSE,TRUE,0.930878206539839,0.125762242294529,FALSE,FALSE,0.615915713625263,0.0565100018859193,0.177631097338807,0.349679063836434,NA,NA,NA,NA,NA,NA,NA
20,1000,"GAUSS",0.542305141259304,0.0121828048438136,FALSE,TRUE,NA,NA,NA,NA,0.301088862977308,2.81345729724602e-06,FALSE,TRUE,0.718241130822786,0.022308087094662,FALSE,TRUE,0.218427247400972,0.332445018451312,0.0243035852895355,0.186102555954673,NA,NA,NA,NA,NA,NA,NA
21,1000,"GAUSS",0.458426318362701,0.00157652084745,FALSE,TRUE,NA,NA,NA,NA,0.0752905222078287,5.40964313344716e-08,FALSE,TRUE,0.982933549053629,0.00846728551522487,FALSE,TRUE,0.45446392817264,0.469440938282585,0.198891842565202,0.165759477840417,NA,NA,NA,NA,NA,NA,NA
22,1000,"GAUSS",0.141139806297726,0.00711459842627445,FALSE,TRUE,NA,NA,NA,NA,0.428492865777905,0.0244422358236726,FALSE,TRUE,0.32427956075937,0.00962306582521904,FALSE,TRUE,0.38155674643491,0.908997510218557,0.428257544503168,0.344635446146408,NA,NA,NA,NA,NA,NA,NA
23,1000,"GAUSS",0.250304706234885,0.00711012004624495,FALSE,TRUE,NA,NA,NA,NA,0.456183027023038,2.06966449314283e-05,FALSE,TRUE,0.0954140202553942,0.426970131635793,FALSE,FALSE,0.489812895182836,0.354442862657097,0.285110171845698,0.736506966131709,NA,NA,NA,NA,NA,NA,NA
24,1000,"GAUSS",0.962018178206754,0.146681351954915,FALSE,FALSE,NA,NA,NA,NA,0.989932863942259,5.0765052323043e-05,FALSE,TRUE,0.540433205866258,0.820498976696988,FALSE,FALSE,0.448062995273913,0.570598856688223,0.603142048813722,0.741152961672185,NA,NA,NA,NA,NA,NA,NA
25,1000,"GAUSS",0.562180419608314,0.0571558595384352,FALSE,FALSE,NA,NA,NA,NA,0.382722233515115,0.000890661748518928,FALSE,TRUE,0.356599428528936,0.625789438335525,FALSE,FALSE,0.552022259530317,0.791279777358762,0.819571276148306,0.771585569710425,NA,NA,NA,NA,NA,NA,NA
26,1000,"GAUSS",0.759399613880494,0.130281505472607,FALSE,FALSE,NA,NA,NA,NA,0.847239835782984,0.176181209837615,FALSE,FALSE,0.765154264306756,0.133439841518049,FALSE,FALSE,0.956503922836657,0.742576568769032,0.983712268599611,0.479308443994503,NA,NA,NA,NA,NA,NA,NA
27,1000,"GAUSS",0.757766435971984,0.00588232195625882,FALSE,TRUE,NA,NA,NA,NA,0.493790934580924,0.0130171177402246,FALSE,TRUE,0.442859885553482,0.0186138505716217,FALSE,TRUE,0.159967031488178,0.154854341435761,0.53820463043148,0.469413279028484,NA,NA,NA,NA,NA,NA,NA
28,1000,"GAUSS",0.600774234299074,0.000184497705570376,FALSE,TRUE,NA,NA,NA,NA,0.866570037042805,0.000460712676163322,FALSE,TRUE,0.391947653171844,0.00538372676981699,FALSE,TRUE,0.241097321184719,0.209759503189313,0.0865991901376998,0.530315848614382,NA,NA,NA,NA,NA,NA,NA
