"bin","parent_mid","cond_mean","cond_var","n_obs","dataset","edge"
15,13.4532333464553,44.1916973067069,85.6207137791677,1667,"A (Gamma BN)","Z2 -> Z3"
16,14.228825146143,46.7629110475089,97.148262153264,1667,"A (Gamma BN)","Z2 -> Z3"
17,15.0405174621889,48.9289491987578,91.7277343482381,1666,"A (Gamma BN)","Z2 -> Z3"
18,15.8870134270653,51.598859074442,104.218493962855,1667,"A (Gamma BN)","Z2 -> Z3"
19,16.7967163753049,53.9548961811578,117.852845610893,1667,"A (Gamma BN)","Z2 -> Z3"
20,17.7854263417929,57.4964114693788,115.20084269198,1666,"A (Gamma BN)","Z2 -> Z3"
21,18.807190183492,60.365445738684,123.465155719303,1667,"A (Gamma BN)","Z2 -> Z3"
22,19.93823218542,63.7520194901531,133.026731614188,1666,"A (Gamma BN)","Z2 -> Z3"
23,21.1667146591843,67.420819535945,133.168808196496,1667,"A (Gamma BN)","Z2 -> Z3"
24,22.5421107679089,71.3873626822079,145.064006327294,1667,"A (Gamma BN)","Z2 -> Z3"
25,24.1307094045578,76.4492004718328,152.712951309706,1666,"A (Gamma BN)","Z2 -> Z3"
26,26.0162735943436,82.0409300988091,170.351897078031,1667,"A (Gamma BN)","Z2 -> Z3"
27,28.368714259323,89.3041981952912,187.814418618052,1667,"A (Gamma BN)","Z2 -> Z3"
28,31.4622688436876,98.3358689331774,222.41999151236,1666,"A (Gamma BN)","Z2 -> Z3"
29,36.1267428586126,112.006730536736,245.30113501748,1667,"A (Gamma BN)","Z2 -> Z3"
30,47.4613732633508,146.533329988084,865.741263373403,1667,"A (Gamma BN)","Z2 -> Z3"
1,2.16247115474267,9.34282434715908,15.3288222351089,1667,"B (Nonparanormal)","Z2 -> Z3"
2,3.69918012313436,14.6829259286548,19.9308599813579,1667,"B (Nonparanormal)","Z2 -> Z3"
3,4.72483966205994,18.1543627179777,26.5677065617481,1666,"B (Nonparanormal)","Z2 -> Z3"
4,5.60744086448279,20.7586066046401,32.1365785086579,1667,"B (Nonparanormal)","Z2 -> Z3"
5,6.4404105492643,23.3556232350009,36.7001090287203,1667,"B (Nonparanormal)","Z2 -> Z3"
6,7.19286269470461,25.8184161112619,41.5575874644513,1666,"B (Nonparanormal)","Z2 -> Z3"
7,7.88572254635359,28.0364522976956,51.9268348473333,1667,"B (Nonparanormal)","Z2 -> Z3"
8,8.53965377181308,29.8960092462909,56.2019841804865,1667,"B (Nonparanormal)","Z2 -> Z3"
9,9.20681090942878,31.9491527680828,62.796110842491,1666,"B (Nonparanormal)","Z2 -> Z3"
10,9.89580056311688,34.2511176068656,70.5973314727062,1667,"B (Nonparanormal)","Z2 -> Z3"
