"replication_id","route","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject"
1,"A",0.996530925756886,0.0881771715639262,FALSE,FALSE,0.487530679863321,0.00474754378042308,FALSE,TRUE,0.607107738450578,0.901658547352549,FALSE,FALSE
2,"A",0.548826895501626,0.00204750875260231,FALSE,TRUE,0.404677692020334,9.35412921121426e-07,FALSE,TRUE,0.190570961478358,0.000165495291708008,FALSE,TRUE
3,"A",0.871688393762041,0.000384870572241965,FALSE,TRUE,0.98735717282186,1.66049513683486e-06,FALSE,TRUE,0.772920014611285,0.00306793607359709,FALSE,TRUE
4,"A",0.15653582314889,0.136274240891474,FALSE,FALSE,0.409918508852957,0.00108963413265939,FALSE,TRUE,0.20918029375641,0.800815362042888,FALSE,FALSE
5,"A",0.376161465274455,0.00918268381269564,FALSE,TRUE,0.264600064609605,4.01563005070216e-10,FALSE,TRUE,0.794726913286251,0.0341416873775483,FALSE,TRUE
6,"A",0.0382577272889572,0.0290243233632641,TRUE,TRUE,0.00978721174034924,9.98270370167198e-06,TRUE,TRUE,0.0366669416020864,0.120549714012805,TRUE,FALSE
7,"A",0.335983653859041,0.0442226090307542,FALSE,TRUE,0.0577957427515168,5.38488548418314e-06,FALSE,TRUE,0.236800755855848,0.0170685226475418,FALSE,TRUE
8,"A",0.949582327963621,0.0144256697976667,FALSE,TRUE,0.548952279582278,0.000127456658325142,FALSE,TRUE,0.810494747854858,0.0400793627426427,FALSE,TRUE
9,"A",0.127407567624861,3.7758919690213e-05,FALSE,TRUE,0.757607201040829,2.00738045075255e-08,FALSE,TRUE,0.577305134871371,0.00698146899834826,FALSE,TRUE
10,"A",0.70738089901055,0.0234652154712329,FALSE,TRUE,0.541069145920378,5.88775624144056e-07,FALSE,TRUE,0.297538450758808,0.123784542988481,FALSE,FALSE
11,"A",0.389661978938888,0.0254131902322113,FALSE,TRUE,0.419511412195898,1.10747609914918e-05,FALSE,TRUE,0.273120522864636,0.139846209901103,FALSE,FALSE
12,"A",0.440016194716073,0.0452867943691138,FALSE,TRUE,0.384948060971199,6.61255294964747e-09,FALSE,TRUE,0.567883980029402,0.0571133045082271,FALSE,FALSE
13,"A",0.79569145088001,0.0739519885817351,FALSE,FALSE,0.762189458237345,1.04189715048886e-05,FALSE,TRUE,0.844137961344192,0.0790737360665288,FALSE,FALSE
14,"A",0.170826209083305,0.012636353401916,FALSE,TRUE,0.0856326133636601,0.00435759694674576,FALSE,TRUE,0.165886153856805,0.277234898326013,FALSE,FALSE
15,"A",0.755716388345344,4.16021710328018e-06,FALSE,TRUE,0.376514514221559,0.00252891068082595,FALSE,TRUE,0.729888311105141,0.00123134182331923,FALSE,TRUE
16,"A",0.509861237041285,0.000730525730287776,FALSE,TRUE,0.805796653999217,9.75219156962304e-06,FALSE,TRUE,0.831136370523348,0.00162686260539958,FALSE,TRUE
17,"A",0.878361801795642,0.55104548849703,FALSE,FALSE,0.187348660779585,0.000971277161157746,FALSE,TRUE,0.743543717933219,0.934809707866165,FALSE,FALSE
18,"A",0.809493625449269,0.272906343749342,FALSE,FALSE,0.367874336193706,0.000255267783399238,FALSE,TRUE,0.992367011619023,0.303121757087651,FALSE,FALSE
19,"A",0.851587616123881,0.00606324828938482,FALSE,TRUE,0.6163862597513,0.00038246121761909,FALSE,TRUE,0.930878206539839,0.125762242294529,FALSE,FALSE
20,"A",0.542305141259304,0.0121828048438136,FALSE,TRUE,0.521199945865157,2.39109386068748e-07,FALSE,TRUE,0.718241130822786,0.022308087094662,FALSE,TRUE
21,"A",0.458426318362701,0.00157652084745,FALSE,TRUE,0.389381222378906,0.0167365595976552,FALSE,TRUE,0.982933549053629,0.00846728551522487,FALSE,TRUE
22,"A",0.141139806297726,0.00711459842627445,FALSE,TRUE,0.408279858120282,0.0264621451857376,FALSE,TRUE,0.32427956075937,0.00962306582521904,FALSE,TRUE
23,"A",0.250304706234885,0.00711012004624495,FALSE,TRUE,0.352545774664925,0.00343701736708313,FALSE,TRUE,0.0954140202553942,0.426970131635793,FALSE,FALSE
24,"A",0.962018178206754,0.146681351954915,FALSE,FALSE,0.886308777227762,0.137441979528136,FALSE,FALSE,0.540433205866258,0.820498976696988,FALSE,FALSE
25,"A",0.562180419608314,0.0571558595384352,FALSE,FALSE,0.562386260329657,0.00110099434936584,FALSE,TRUE,0.356599428528936,0.625789438335525,FALSE,FALSE
26,"A",0.759399613880494,0.130281505472607,FALSE,FALSE,0.975412698865937,0.092530717424675,FALSE,FALSE,0.765154264306756,0.133439841518049,FALSE,FALSE
27,"A",0.757766435971984,0.00588232195625882,FALSE,TRUE,0.838797538894626,0.0390273102214402,FALSE,TRUE,0.442859885553482,0.0186138505716217,FALSE,TRUE
28,"A",0.600774234299074,0.000184497705570376,FALSE,TRUE,0.473702162416706,2.78925504915151e-09,FALSE,TRUE,0.391947653171844,0.00538372676981699,FALSE,TRUE
29,"A",0.237025701292424,0.0186533808223172,FALSE,TRUE,0.279147798028619,0.00062952866454713,FALSE,TRUE,0.925473058049871,0.197076614945613,FALSE,FALSE
30,"A",0.118898873647716,0.367962207313573,FALSE,FALSE,0.325474022555409,0.00145511231318574,FALSE,TRUE,0.0471346239625278,0.33339407016451,TRUE,FALSE
31,"A",0.199710492774859,0.0734688300913735,FALSE,FALSE,0.115581724191312,0.000165659008977803,FALSE,TRUE,0.0585812434819716,0.31091888382354,FALSE,FALSE
32,"A",0.331054355336386,0.00107044590293477,FALSE,TRUE,0.19089682135748,4.2170351655102e-09,FALSE,TRUE,0.522642026852292,0.0119117953107293,FALSE,TRUE
33,"A",0.243784929536977,0.139398874306018,FALSE,FALSE,0.514620374108322,2.01801658761269e-06,FALSE,TRUE,0.161350083308508,0.289223573339111,FALSE,FALSE
34,"A",0.355668804456811,0.00339829036931373,FALSE,TRUE,0.474123554252935,3.58046604076456e-06,FALSE,TRUE,0.311678766837192,0.0541343859155509,FALSE,FALSE
35,"A",0.429917953255392,0.0760897749898802,FALSE,FALSE,0.134858052936095,0.000304948861886922,FALSE,TRUE,0.234859340609827,0.1195967579371,FALSE,FALSE
36,"A",0.694349423159413,0.102076024328393,FALSE,FALSE,0.789536909406474,0.000810774198390707,FALSE,TRUE,0.971367461329731,0.317655326522033,FALSE,FALSE
37,"A",0.0547015820184006,0.171255730228199,FALSE,FALSE,0.346624136687455,1.58048681777601e-05,FALSE,TRUE,0.268598224860879,0.587451003772825,FALSE,FALSE
38,"A",0.857687758202541,0.0366923179985549,FALSE,TRUE,0.171664142741489,0.00010465334442733,FALSE,TRUE,0.632830999323065,0.0514591567021173,FALSE,FALSE
39,"A",0.76689529463333,0.00357359161451547,FALSE,TRUE,0.773652009180365,2.78941891773687e-06,FALSE,TRUE,0.753560918932569,0.0131134786045981,FALSE,TRUE
40,"A",0.22905343516159,0.0417503485643797,FALSE,TRUE,0.811269422599603,0.0982697856392769,FALSE,FALSE,0.141681135310153,0.483223865095718,FALSE,FALSE
41,"A",0.358568477485213,6.0939224915513e-05,FALSE,TRUE,0.25779896158296,0.00271016142679148,FALSE,TRUE,0.438367654919379,0.00060122872895086,FALSE,TRUE
42,"A",0.40788791108567,0.243444432577189,FALSE,FALSE,0.199402191103957,0.016452143248918,FALSE,TRUE,0.790560262917179,0.163846755999087,FALSE,FALSE
43,"A",0.691017156440214,0.000378432756427326,FALSE,TRUE,0.32773687918243,2.62919301774467e-07,FALSE,TRUE,0.127526371864521,0.000108987316169445,FALSE,TRUE
44,"A",0.737638804404768,0.0445627078580207,FALSE,TRUE,0.652266385995694,0.00494307559207474,FALSE,TRUE,0.874850261042234,0.0318667990716133,FALSE,TRUE
45,"A",0.380549401123692,0.00540100456460474,FALSE,TRUE,0.287946304438099,0.004553278121736,FALSE,TRUE,0.53195750034741,0.0663154735243791,FALSE,FALSE
46,"A",0.896453930578711,0.277407211214418,FALSE,FALSE,0.779850348863513,0.00158177394997383,FALSE,TRUE,0.976301867212929,0.792946649251187,FALSE,FALSE
47,"A",0.118068673125994,0.000382878139656719,FALSE,TRUE,0.496987702636388,1.02012411395958e-05,FALSE,TRUE,0.492270448493186,0.0446183627541308,FALSE,TRUE
48,"A",0.116434013035957,0.00292160659653653,FALSE,TRUE,0.171208403317262,0.000357898442193694,FALSE,TRUE,0.418754192428538,0.0477651345793452,FALSE,TRUE
49,"A",0.288969720645802,0.000237529910292895,FALSE,TRUE,0.486849204680341,4.44089209850063e-16,FALSE,TRUE,0.939895775490801,0.00351608342536419,FALSE,TRUE
50,"A",0.459295020082628,0.00257262714180447,FALSE,TRUE,0.577119877527777,5.53350687493293e-09,FALSE,TRUE,0.0887784925643411,0.0555126713018163,FALSE,FALSE
51,"A",0.313577419263972,0.0131185170081205,FALSE,TRUE,0.767174865842538,0.0193770918714159,FALSE,TRUE,0.582638080866278,0.146034650207257,FALSE,FALSE
52,"A",0.971938953494788,0.00640503168152877,FALSE,TRUE,0.856290484857413,3.24497033465931e-07,FALSE,TRUE,0.394353814331894,0.0445983292282505,FALSE,TRUE
53,"A",0.0394356590883062,0.175498835236066,TRUE,FALSE,0.105370542663087,0.000184608728690527,FALSE,TRUE,0.0789046226736738,0.163644786800405,FALSE,FALSE
54,"A",0.853143652545214,0.000869835261664915,FALSE,TRUE,0.451353124369702,2.49748946987705e-05,FALSE,TRUE,0.0442488501071852,0.000412759497303855,TRUE,TRUE
55,"A",0.246451874243793,0.000279120013845205,FALSE,TRUE,0.687045920515058,1.15564455549499e-06,FALSE,TRUE,0.421420734742228,0.0063184756999702,FALSE,TRUE
56,"A",0.370322381451743,0.0181651626591454,FALSE,TRUE,0.77859391434264,3.3219172124177e-07,FALSE,TRUE,0.232659158597313,0.43105974719431,FALSE,FALSE
57,"A",0.52970981487976,0.184189384449521,FALSE,FALSE,0.312328403687116,0.00927180887355927,FALSE,TRUE,0.812583878658802,0.0569082723482565,FALSE,FALSE
58,"A",0.0683634757212514,0.367044711703126,FALSE,FALSE,0.0649370554432426,0.00785129786366501,FALSE,TRUE,0.0987216648803072,0.717913910297646,FALSE,FALSE
59,"A",0.520534944228779,0.130214218003507,FALSE,FALSE,0.245537864373596,4.74635138858481e-07,FALSE,TRUE,0.2436074843516,0.235694793536284,FALSE,FALSE
60,"A",0.553987886154326,0.000248943327290553,FALSE,TRUE,0.846172568263258,0.0107300077770067,FALSE,TRUE,0.115540907365188,0.0013207309703087,FALSE,TRUE
61,"A",0.301088214228151,0.0010948400897193,FALSE,TRUE,0.716874609741556,1.22015450076951e-07,FALSE,TRUE,0.75372524825268,0.00979894379550039,FALSE,TRUE
62,"A",0.971888398447129,0.00639988839132469,FALSE,TRUE,0.613394691734495,0.0102976737824,FALSE,TRUE,0.625310773604813,0.0354558700770198,FALSE,TRUE
63,"A",0.206145694786774,0.0002166067707682,FALSE,TRUE,0.389233648841748,1.51020173513317e-05,FALSE,TRUE,0.256949261990614,0.000883723840662629,FALSE,TRUE
64,"A",0.339332952036145,0.115853681098803,FALSE,FALSE,0.204773922603967,0.00364059921378312,FALSE,TRUE,0.4653724334479,0.252741441423414,FALSE,FALSE
65,"A",0.15223395595411,0.000638056805519766,FALSE,TRUE,0.654979751201277,0.017767458276275,FALSE,TRUE,0.171932851811871,0.0690649094391783,FALSE,FALSE
66,"A",0.660435701517428,0.00550528001540429,FALSE,TRUE,0.763684482084643,2.53333536370803e-08,FALSE,TRUE,0.337060574158953,0.0354498036109446,FALSE,TRUE
67,"A",0.622170566082642,0.0302408876297349,FALSE,TRUE,0.67209948021413,5.47562071429031e-06,FALSE,TRUE,0.935092963845608,0.0975581229621161,FALSE,FALSE
68,"A",0.500894019036878,0.0422655295473189,FALSE,TRUE,0.00204544163286902,4.70533001728501e-06,TRUE,TRUE,0.8463020385937,0.0804960045609035,FALSE,FALSE
69,"A",0.613256359790529,0.00016592738322774,FALSE,TRUE,0.43228065950844,1.93844480356198e-07,FALSE,TRUE,0.330122853611608,0.00416454058060204,FALSE,TRUE
70,"A",0.222364708916258,0.0362699834318831,FALSE,TRUE,0.081072282764972,2.02003203730872e-06,FALSE,TRUE,0.416419246024256,0.00802087604375344,FALSE,TRUE
71,"A",0.620644888746392,0.082756121558221,FALSE,FALSE,0.122005494287811,2.64712377873177e-06,FALSE,TRUE,0.344998956912211,0.0969000677958369,FALSE,FALSE
72,"A",0.806803128135554,0.0010021926130116,FALSE,TRUE,0.454879938415859,6.52771216858028e-07,FALSE,TRUE,0.80517688773758,0.0535004056378773,FALSE,FALSE
73,"A",0.238822497546049,0.330128340725833,FALSE,FALSE,0.127683703155613,0.115484559105648,FALSE,FALSE,0.134792273498252,0.291480393669407,FALSE,FALSE
74,"A",0.336492472772299,0.044714326712009,FALSE,TRUE,0.119309677314952,0.0108383151961029,FALSE,TRUE,0.147414320722882,0.583860039187324,FALSE,FALSE
75,"A",0.307678416978496,0.00510400631078855,FALSE,TRUE,0.208048419933999,1.29494910650063e-05,FALSE,TRUE,0.832291766634596,0.00386916743602915,FALSE,TRUE
76,"A",0.17269959322191,0.00119272440016214,FALSE,TRUE,0.503872662935867,4.60608945448415e-05,FALSE,TRUE,0.164606967475338,0.0345160177001229,FALSE,TRUE
77,"A",0.0252993234685121,0.00113354833935042,TRUE,TRUE,0.00798814959250327,0.0164317320769516,TRUE,TRUE,0.191231070235815,0.0235205570364532,FALSE,TRUE
78,"A",0.849447865108852,0.00158316817513283,FALSE,TRUE,0.770880998007072,1.05864541577461e-08,FALSE,TRUE,0.30852510939791,0.0255090479377439,FALSE,TRUE
79,"A",0.396077374288208,0.692861367619795,FALSE,FALSE,0.393787946368173,2.63677440495158e-05,FALSE,TRUE,0.726549905747991,0.408642603146955,FALSE,FALSE
80,"A",0.483044625921792,0.00617661352724405,FALSE,TRUE,0.138110240373214,0.000552930915107996,FALSE,TRUE,0.561698960572523,0.18483277069057,FALSE,FALSE
81,"A",0.693067846329673,0.0201675910121916,FALSE,TRUE,0.943436947455246,3.24728849798728e-06,FALSE,TRUE,0.421624243616382,0.0834892921935406,FALSE,FALSE
82,"A",0.837557517986438,0.0338022318001785,FALSE,TRUE,0.204833611602096,1.15669072764391e-07,FALSE,TRUE,0.663078833286404,0.045072271553637,FALSE,TRUE
83,"A",0.943283481849297,0.00229609271325027,FALSE,TRUE,0.861433501596337,1.80101024069845e-05,FALSE,TRUE,0.488971605345948,0.00878323741426098,FALSE,TRUE
84,"A",0.603299430758513,0.088059886525887,FALSE,FALSE,0.973331661681781,3.29582324609667e-06,FALSE,TRUE,0.689930705592781,0.816104866311389,FALSE,FALSE
85,"A",0.122617030561157,0.971298925380199,FALSE,FALSE,0.419448868479744,0.151669915156018,FALSE,FALSE,0.934349520314226,0.87071153843281,FALSE,FALSE
86,"A",0.591897369204833,0.000102749677610198,FALSE,TRUE,0.741445892132967,0.0176714490961559,FALSE,TRUE,0.792201593874894,0.0355873716724298,FALSE,TRUE
87,"A",0.687974178064826,0.00956895217294314,FALSE,TRUE,0.878104796871879,0.000501650996927894,FALSE,TRUE,0.594874428603549,0.139331659859785,FALSE,FALSE
88,"A",0.120316465687161,0.727607121915078,FALSE,FALSE,0.149871728010351,0.00610684250732507,FALSE,TRUE,0.161971373995377,0.692956228173668,FALSE,FALSE
89,"A",0.151282228499979,0.0620913697639843,FALSE,FALSE,0.185018949281405,2.78058627841693e-05,FALSE,TRUE,0.406467604418795,0.00706803888397571,FALSE,TRUE
90,"A",0.99329308671758,4.21270393640136e-07,FALSE,TRUE,0.525988859568377,3.95427097954482e-07,FALSE,TRUE,0.620380669031302,2.5650067599763e-06,FALSE,TRUE
91,"A",0.828345408388801,0.125563061187872,FALSE,FALSE,0.636480712026074,0.0487204685210881,FALSE,TRUE,0.495101818407425,0.284650882490724,FALSE,FALSE
92,"A",0.766741651455016,8.47389976664522e-09,FALSE,TRUE,0.539569267696399,7.17648163117701e-13,FALSE,TRUE,0.187908050362749,5.83677307043608e-06,FALSE,TRUE
93,"A",0.377454262692389,0.00370581989696274,FALSE,TRUE,0.444342016483987,5.30386645714032e-09,FALSE,TRUE,0.835334038683593,0.138581810045858,FALSE,FALSE
